SeqNo,Year,Month,Day,ms,HR,BR,Temp,Posture,Activity,Peak Accel,BattV,BrWaveAmp,ECGAmp,ECGNoise,XAccelMin,XAccelPeak,YAccelMin,YAccelPeak,ZAccelMin,ZAccelPeak,SysCh,GSR,SPO2,BloodPrs,AlmStatus,LEDStatus
0,2016,09,18,62178093,77,15.5,-3276.8,-21,0.05,0.08,4.145,4,1.84,0.7,-0.97,-0.92,0.24,0.36,0.19,0.27,0,65535,,,1,-32678
1,2016,09,18,62179093,78,15.5,-3276.8,-23,0.06,0.1,4.145,4,1.88,0.68,-0.96,-0.9,0.25,0.36,0.21,0.37,0,65535,,,1,-32678
2,2016,09,18,62180094,78,15.5,-3276.8,-25,0.04,0.08,4.145,4,1.88,0.58,-0.96,-0.9,0.28,0.38,0.26,0.37,0,65535,,,1,-32678
3,2016,09,18,62181094,78,15.5,-3276.8,-25,0.03,0.06,4.145,3,1.78,0.54,-0.96,-0.87,0.3,0.37,0.28,0.37,0,65535,,,1,-32678
4,2016,09,18,62182094,79,15.7,-3276.8,-26,0.02,0.06,4.145,3,1.78,0.5,-0.96,-0.9,0.27,0.37,0.31,0.37,0,65535,,,1,-32678
5,2016,09,18,62183094,79,15.7,-3276.8,-26,0.02,0.06,4.145,3,1.64,0.5,-0.96,-0.89,0.3,0.39,0.27,0.37,0,65535,,,1,-32678
6,2016,09,18,62184094,79,15.7,-3276.8,-26,0.02,0.14,4.143,3,1.64,0.4,-1.14,-0.89,0.3,0.38,0.28,0.36,0,65535,,,1,-32678
7,2016,09,18,62185094,79,15.7,-3276.8,-26,0.01,0.04,4.143,3,1.62,0.4,-0.96,-0.89,0.3,0.37,0.27,0.36,0,65535,,,1,-32678
8,2016,09,18,62186094,79,15.9,-3276.8,-25,0.02,0.04,4.143,3,1.62,0.38,-0.96,-0.9,0.27,0.37,0.28,0.36,0,65535,,,1,-32678
9,2016,09,18,62187094,79,15.9,-3276.8,-25,0.02,0.04,4.143,3,1.62,0.44,-0.96,-0.9,0.27,0.37,0.27,0.36,0,65535,,,1,-32678
