SeqNo,Year,Month,Day,ms,HR,BR,Temp,Posture,Activity,Peak Accel,BattV,BrWaveAmp,ECGAmp,ECGNoise,XAccelMin,XAccelPeak,YAccelMin,YAccelPeak,ZAccelMin,ZAccelPeak,SysCh,GSR,SPO2,BloodPrs,AlmStatus,LEDStatus
0,2016,09,18,62123074,78,16,-3276.8,-22,0.01,0.04,4.145,4,1.64,0.5,-0.96,-0.91,0.22,0.3,0.25,0.33,0,65535,,,1,-32678
1,2016,09,18,62124075,78,15.9,-3276.8,-22,0.01,0.03,4.145,3,1.64,0.5,-0.97,-0.92,0.21,0.3,0.27,0.34,0,65535,,,1,-32678
2,2016,09,18,62125074,79,15.9,-3276.8,-22,0.01,0.03,4.145,3,1.5,0.46,-0.97,-0.92,0.21,0.28,0.26,0.34,0,65535,,,1,-32678
3,2016,09,18,62126074,80,15.8,-3276.8,-22,0.04,0.09,4.145,5,1.5,0.46,-0.96,-0.92,0.2,0.26,0.25,0.4,0,65535,,,1,-32678
4,2016,09,18,62127076,81,15.8,-3276.8,-21,0.08,0.14,4.145,5,1.56,0.88,-1,-0.9,0.21,0.34,0.16,0.39,0,65535,,,1,-32678
5,2016,09,18,62128075,82,15.7,-3276.8,-22,0.08,0.12,4.145,4,1.56,0.92,-0.98,-0.86,0.24,0.39,0.18,0.33,0,65535,,,1,-32678
6,2016,09,18,62129078,84,15.7,-3276.8,-24,0.06,0.09,4.145,4,1.58,0.9,-0.96,-0.89,0.34,0.4,0.2,0.32,0,65535,,,1,-32678
7,2016,09,18,62130081,87,15.7,-3276.8,-25,0.03,0.08,4.145,4,1.58,0.84,-0.96,-0.89,0.34,0.4,0.2,0.32,0,65535,,,1,-32678
8,2016,09,18,62131075,89,15.7,-3276.8,-25,0.02,0.04,4.145,4,1.56,0.74,-0.96,-0.9,0.31,0.39,0.22,0.31,0,65535,,,1,-32678
9,2016,09,18,62132079,90,15.6,-3276.8,-25,0.01,0.03,4.145,3,1.56,0.62,-0.96,-0.89,0.31,0.38,0.24,0.31,0,65535,,,1,-32678
